Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-29 17:12:27,2023-11-29 17:14:13,1m - 46.063s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-29 17:12:28,2023-11-29 17:12:45,17.111s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:12:29,2023-11-29 17:12:34,5.038s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:12:34,2023-11-29 17:12:35,1.248s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:12:35,2023-11-29 17:12:36,1.172s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:12:36,2023-11-29 17:12:37,1.095s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-29 17:12:37,2023-11-29 17:12:39,1.858s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:12:39,2023-11-29 17:12:40,0.473s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-29 17:12:40,2023-11-29 17:12:41,1.656s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:12:41,2023-11-29 17:12:42,0.484s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-29 17:12:42,2023-11-29 17:12:43,1.342s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:12:43,2023-11-29 17:12:44,0.474s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:12:44,2023-11-29 17:12:44,0.562s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:12:44,2023-11-29 17:12:45,0.797s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-29 17:12:45,2023-11-29 17:12:59,13.523s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:12:46,2023-11-29 17:12:47,1.584s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:12:47,2023-11-29 17:12:49,1.862s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:12:49,2023-11-29 17:12:49,0.141s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:12:49,2023-11-29 17:12:52,2.304s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 119.0.0.0,,,2023-11-29 17:12:52,2023-11-29 17:12:53,1.663s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:12:53,2023-11-29 17:12:54,0.418s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_100410051006""), ""number:1005"", true)",Chrome 119.0.0.0,,,2023-11-29 17:12:54,2023-11-29 17:12:55,1.727s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-29 17:12:55,2023-11-29 17:12:56,0.471s,PASSED
"setText(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""1500"")",Chrome 119.0.0.0,,,2023-11-29 17:12:56,2023-11-29 17:12:57,1.246s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-29 17:12:57,2023-11-29 17:12:57,0.366s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-29 17:12:57,2023-11-29 17:12:58,0.489s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:12:58,2023-11-29 17:12:59,0.725s,PASSED
,,,,,,,
Test Cases/CustomerNevilleLogin,Chrome 119.0.0.0,,,2023-11-29 17:12:59,2023-11-29 17:13:11,12.343s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:12:59,2023-11-29 17:13:00,1.277s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:00,2023-11-29 17:13:02,1.982s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:02,2023-11-29 17:13:02,0.123s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:02,2023-11-29 17:13:04,1.147s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""5"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:04,2023-11-29 17:13:05,1.739s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:05,2023-11-29 17:13:06,0.397s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1014"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:06,2023-11-29 17:13:07,1.518s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1015"", true)",Chrome 119.0.0.0,,,2023-11-29 17:13:07,2023-11-29 17:13:08,1.105s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-29 17:13:08,2023-11-29 17:13:09,0.462s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-29 17:13:09,2023-11-29 17:13:10,1.025s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-29 17:13:10,2023-11-29 17:13:10,0.493s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-29 17:13:10,2023-11-29 17:13:11,0.738s,PASSED
,,,,,,,
Test Cases/CustomerRonLogin,Chrome 119.0.0.0,,,2023-11-29 17:13:11,2023-11-29 17:13:26,14.742s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-29 17:13:12,2023-11-29 17:13:13,1.240s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-29 17:13:13,2023-11-29 17:13:15,1.906s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-29 17:13:15,2023-11-29 17:13:15,0.133s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-29 17:13:15,2023-11-29 17:13:16,1.101s,PASSED
